bids_name,fd_mean,fd_perc,fd_num
sub-137_task-choose_run-01_bold,0.09115163,3.84615385,5
sub-137_task-choose_run-02_bold,0.08319537,3.07692308,4
sub-137_task-choose_run-03_bold,0.07693463,1.5625,2
sub-137_task-choose_run-04_bold,0.13435589,16.9230769,22
sub-137_task-choose_run-05_bold,0.1104902,9.23076923,12
sub-137_task-choose_run-06_bold,0.17263464,10.7692308,14
sub-137_task-choose_run-07_bold,0.18150423,14.6153846,19
sub-137_task-choose_run-08_bold,0.18320216,10.7692308,14
sub-137_task-choose_run-09_bold,0.13571125,10.0775194,13
sub-137_task-gonogo_run-01_bold,0.13060695,11,11
sub-137_task-gonogo_run-02_bold,0.09336963,8,8
sub-137_task-switch_bold,0.13595524,16.8421053,32
sub-138_task-choose_run-01_bold,0.16709075,24.6153846,32
sub-138_task-choose_run-02_bold,0.15486439,24.8062016,32
sub-138_task-choose_run-03_bold,0.15926589,24.6153846,32
sub-138_task-choose_run-04_bold,0.19954016,47.6923077,62
sub-138_task-choose_run-05_bold,0.18398095,39.2307692,51
sub-138_task-choose_run-06_bold,0.16899149,26.9230769,35
sub-138_task-choose_run-07_bold,0.18080956,34.6153846,45
sub-138_task-choose_run-08_bold,0.19118858,36.9230769,48
sub-138_task-choose_run-09_bold,0.16309039,27.9069767,36
sub-138_task-gonogo_run-01_bold,0.11546794,8,8
sub-138_task-gonogo_run-02_bold,0.11834578,7,7
sub-138_task-switch_bold,0.13914399,18.4210526,35
sub-139_task-choose_run-01_bold,0.13967766,19.379845,25
sub-139_task-choose_run-02_bold,0.13339885,17.6923077,23
sub-139_task-choose_run-03_bold,0.12891807,20.9302326,27
sub-139_task-choose_run-04_bold,0.15698517,24.0310078,31
sub-139_task-choose_run-05_bold,0.12744848,15.3846154,20
sub-139_task-choose_run-06_bold,0.13099591,17.6923077,23
sub-139_task-choose_run-07_bold,0.13279292,16.1538462,21
sub-139_task-choose_run-08_bold,0.12244665,11.5384615,15
sub-139_task-choose_run-09_bold,0.11973493,11.5384615,15
sub-139_task-gonogo_run-01_bold,0.09499683,3.09278351,3
sub-139_task-gonogo_run-02_bold,0.1060126,3.19148936,3
sub-139_task-switch_bold,0.11439424,6.87830688,13
sub-140_task-choose_run-01_bold,0.07391431,0,0
sub-140_task-choose_run-02_bold,0.07209068,4.61538462,6
sub-140_task-choose_run-03_bold,0.06864046,1.53846154,2
sub-140_task-choose_run-04_bold,0.08025408,6.15384615,8
sub-140_task-choose_run-05_bold,0.11005668,7.69230769,10
sub-140_task-choose_run-06_bold,0.13712691,19.2307692,25
sub-140_task-choose_run-07_bold,0.10615865,7.69230769,10
sub-140_task-choose_run-08_bold,0.13815949,18.4615385,24
