"","food","subj_idx","block","cond","resp","rt","pre_liking","post_liking","taste","health","healthy","tasty","pre_liking_c","post_liking_c","taste_c","health_c","response","post_pre","post_pre_c"
"483","GoldfishBits_3_0.25Cups.jpg",102,8,"Natural",1,0.592292753906804,4,3,3,4,"healthy","untasty",0.461928934010152,-0.350323343300188,-0.682706348654475,0.667477922258536,0,-1,-0.81225227731034
"484","SpeltCakes_2_0.5.jpg",102,8,"Natural",1,0.97246344236919,1,1,1,3,"unhealthy","untasty",-2.53807106598985,-2.35032334330019,-2.68270634865447,-0.332522077741464,0,0,0.18774772268966
"485","PureFit_4_2Bars.jpg",102,8,"Natural",1,0.668680679253157,1,1,2,4,"healthy","untasty",-2.53807106598985,-2.35032334330019,-1.68270634865447,0.667477922258536,0,0,0.18774772268966
"486","Cauliflower_2_3chunks.jpg",102,8,"Natural",2,0.88894523664203,1,1,1,3,"unhealthy","untasty",-2.53807106598985,-2.35032334330019,-2.68270634865447,-0.332522077741464,0,0,0.18774772268966
"487","Cheerios_2_2T.jpg",102,8,"Natural",1,0.666460930529865,2,1,1,3,"unhealthy","untasty",-1.53807106598985,-2.35032334330019,-2.68270634865447,-0.332522077741464,0,-1,-0.81225227731034
"488","Butternut_3_0.3cup.jpg",102,8,"Natural",2,0.510911609915638,5,4,3,5,"healthy","untasty",1.46192893401015,0.649676656699812,-0.682706348654475,1.66747792225854,0,-1,-0.81225227731034
"489","CornFlakes_3_2tbsps.jpg",102,8,"Decrease",2,1.27889782090278,2,1,1,2,"unhealthy","untasty",-1.53807106598985,-2.35032334330019,-2.68270634865447,-1.33252207774146,0,-1,-0.81225227731034
"490","PopTartStrawberry_2_0.5tart.jpg",102,8,"Decrease",2,2.1452393032996,4,3,4,3,"unhealthy","tasty",0.461928934010152,-0.350323343300188,0.317293651345525,-0.332522077741464,0,-1,-0.81225227731034
"491","RomaineLettuce_2_3leaves.jpg",102,8,"Decrease",2,1.16234194114077,4,2,1,5,"healthy","untasty",0.461928934010152,-1.35032334330019,-2.68270634865447,1.66747792225854,0,-2,-1.81225227731034
"492","Mackerel_1_1fish.jpg",102,8,"Decrease",3,1.58752506849123,5,5,4,4,"healthy","tasty",1.46192893401015,1.64967665669981,0.317293651345525,0.667477922258536,1,0,0.18774772268966
"493","RomaineLettuce_4_1head.jpg",102,8,"Decrease",2,0.724100670249754,4,1,1,5,"healthy","untasty",0.461928934010152,-2.35032334330019,-2.68270634865447,1.66747792225854,0,-3,-2.81225227731034
"494","Fritos_5_1c.jpg",102,8,"Decrease",2,2.45490743409755,3,1,3,3,"unhealthy","untasty",-0.538071065989848,-2.35032334330019,-0.682706348654475,-0.332522077741464,0,-2,-1.81225227731034
"495","Prunes_2_3.jpg",102,8,"Decrease",1,0.876295408081205,3,2,2,3,"unhealthy","untasty",-0.538071065989848,-1.35032334330019,-1.68270634865447,-0.332522077741464,0,-1,-0.81225227731034
"496","ViennaSausage_2_3pc.jpg",102,8,"Decrease",2,1.00632337830029,6,3,2,4,"healthy","untasty",2.46192893401015,-0.350323343300188,-1.68270634865447,0.667477922258536,0,-3,-2.81225227731034
